Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-70B,32,256,2,16,prefill,1.48166847975,345.70252430504775,1092.7666109682914,641.3457836626369
Llama2-70B,32,256,4,8,prefill,1.6776232181249997,610.5886974290055,836.3754669490709,784.1479984100497
Llama2-70B,32,256,8,4,prefill,2.130048711125,961.677068168599,732.429170068197,955.2422193982418
Llama2-70B,32,256,16,2,prefill,3.0406710086875,1347.20631547958,680.7169592163184,1101.4099078816466
Llama2-70B,32,256,32,1,prefill,4.908665656531251,1668.9495909174666,660.9026384761752,1204.179639214282
Llama2-70B,32,256,80,1,prefill,14.1417646051875,1448.2872052035043,650.0588414127344,968.5020731898152
Llama2-70B,32,384,1,32,prefill,2.1706713145000003,177.11663167698816,1775.4484420986637,556.9426513164316
Llama2-70B,32,384,2,16,prefill,2.268700479625,338.8925728807129,1094.1955519874189,627.1188233104571
Llama2-70B,32,384,4,8,prefill,2.5626325871875,599.9007812478102,837.79143428838,770.5592053870337
Llama2-70B,32,384,8,4,prefill,3.2412708266875,948.2873580008112,733.838650567597,944.2356929630402
Llama2-70B,32,384,16,2,prefill,4.6072042730312495,1333.9193315058944,682.1231962957636,1094.3682042022529
Llama2-70B,32,384,32,1,prefill,7.409196244796877,1658.6505097644392,661.9019021056607,1200.2176591738837
Llama2-70B,32,384,80,1,prefill,21.384090107781244,1436.8283001305226,651.5212599500072,964.598429023918
Llama2-70B,32,512,1,32,prefill,2.9559926860000005,173.5851232695308,1776.9034225121852,543.6664530283056
Llama2-70B,32,512,2,16,prefill,3.0866982395,332.4092527253069,1095.6245850413038,613.6866934374787
Llama2-70B,32,512,4,8,prefill,3.4786077162499995,589.6673714262649,839.2074936624466,757.5783582327466
Llama2-70B,32,512,8,4,prefill,4.38345870225,935.3467717534292,735.2482231017547,933.5652121326636
Llama2-70B,32,512,16,2,prefill,6.204703297375,1320.9404768446211,683.5295254099666,1087.4476715841795
